Filename,"Index Number","Geo Location","Actual Geo Location"
IMG_20260310_143918094.jpg,1,"35.638395, 139.759002","35.6394,139.758"
IMG_20260310_185012899.jpg,2,"35.772670, 140.386753","35.7726, 140.3867"
IMG_20260311_092734000.jpg,3,"35.041257, 138.372745","35.6665, 138.4419"
IMG_20260311_142738676.jpg,4,"34.694488, 135.502348","32.7401, 129.869"
IMG_20260311_145538432.jpg,5,"34.694488, 135.502348","32.7444, 129.873"
IMG_20260312_090025626.jpg,6,"32.741685, 129.872319","32.7705, 129.864"
IMG_20260312_113501214.jpg,7,"32.776865, 129.863934","32.7768, 129.864"
IMG_20260313_105912933.jpg,8,"32.773439, 129.863303","33.5852, 130.38"
IMG_20260313_111039650.jpg,9,"32.809305, 129.868289","33.584, 130.385"
IMG_20260304_094309059.jpg,10,"35.714528, 139.773417","35.1799, 136.881"
img_20260303_092304864.jpg,11,"35.627250, 139.774250","35.1647, 136.9"
IMG_20260306_125818733.jpg,12,"35.580972, 138.448750","35.5921, 138.578"
IMG_20260307_183852844.jpg,13,"35.714194, 139.803389","35.7174, 139.807"
IMG_20260308_093233282.jpg,14,"35.710038, 139.810713","35.7106, 139.811"
img_20260311_141506164.jpg,15,"35.061944, 138.885667","32.7423, 129.869"
IMG_20260308_155905318.jpg,16,"35.239056, 139.129333","35.7193, 139.778"
